Sample in Buffer,Sample in Window,TRIGGER,u_dac_/conf[15:0],u_dac_/z_sync[2:0],u_dac_/cnt_delay[15:0],u_dac_/dac_cnt[12:0],u_dac_/dac_ram_addr[12:0],u_dac_/dac_ram_odata[15:0],u_dac_/tt_odat[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000,0,0000,0cdb,0cdb,0000,0000
1,1,0,0000,0,0000,0cdc,0cdc,0000,0000
2,2,0,0000,0,0000,0cdd,0cdd,0000,0000
3,3,0,0000,0,0000,0cde,0cde,0000,0000
4,4,0,0000,0,0000,0cdf,0cdf,0000,0000
5,5,0,0000,0,0000,0ce0,0ce0,0000,0000
6,6,0,0000,0,0000,0ce1,0ce1,0000,0000
7,7,0,0000,0,0000,0ce2,0ce2,0000,0000
8,8,0,0000,0,0000,0ce3,0ce3,0000,0000
9,9,0,0000,0,0000,0ce4,0ce4,0000,0000
10,10,0,0000,0,0000,0ce5,0ce5,0000,0000
11,11,0,0000,0,0000,0ce6,0ce6,0000,0000
12,12,0,0000,0,0000,0ce7,0ce7,0000,0000
13,13,0,0000,0,0000,0ce8,0ce8,0000,0000
14,14,0,0000,0,0000,0ce9,0ce9,0000,0000
15,15,0,0000,0,0000,0cea,0cea,0000,0000
16,16,0,0000,0,0000,0ceb,0ceb,0000,0000
17,17,0,0000,0,0000,0cec,0cec,0000,0000
18,18,0,0000,0,0000,0ced,0ced,0000,0000
19,19,0,0000,0,0000,0cee,0cee,0000,0000
20,20,0,0000,0,0000,0cef,0cef,0000,0000
21,21,0,0000,0,0000,0cf0,0cf0,0000,0000
22,22,0,0000,0,0000,0cf1,0cf1,0000,0000
23,23,0,0000,0,0000,0cf2,0cf2,0000,0000
24,24,0,0000,0,0000,0cf3,0cf3,0000,0000
25,25,0,0000,0,0000,0cf4,0cf4,0000,0000
26,26,0,0000,0,0000,0cf5,0cf5,0000,0000
27,27,0,0000,0,0000,0cf6,0cf6,0000,0000
28,28,0,0000,0,0000,0cf7,0cf7,0000,0000
29,29,0,0000,0,0000,0cf8,0cf8,0000,0000
30,30,0,0000,0,0000,0cf9,0cf9,0000,0000
31,31,0,0000,0,0000,0cfa,0cfa,0000,0000
32,32,0,0000,0,0000,0cfb,0cfb,0000,0000
33,33,0,0000,0,0000,0cfc,0cfc,0000,0000
34,34,0,0000,0,0000,0cfd,0cfd,0000,0000
35,35,0,0000,0,0000,0cfe,0cfe,0000,0000
36,36,0,0000,0,0000,0cff,0cff,0000,0000
37,37,0,0000,0,0000,0d00,0d00,0000,0000
38,38,0,0000,0,0000,0d01,0d01,0000,0000
39,39,0,0000,0,0000,0d02,0d02,0000,0000
40,40,0,0000,0,0000,0d03,0d03,0000,0000
41,41,0,0000,0,0000,0d04,0d04,0000,0000
42,42,0,0000,0,0000,0d05,0d05,0000,0000
43,43,0,0000,0,0000,0d06,0d06,0000,0000
44,44,0,0000,0,0000,0d07,0d07,0000,0000
45,45,0,0000,0,0000,0d08,0d08,0000,0000
46,46,0,0000,0,0000,0d09,0d09,0000,0000
47,47,0,0000,0,0000,0d0a,0d0a,0000,0000
48,48,0,0000,0,0000,0d0b,0d0b,0000,0000
49,49,0,0000,0,0000,0d0c,0d0c,0000,0000
50,50,0,0000,0,0000,0d0d,0d0d,0000,0000
51,51,0,0000,0,0000,0d0e,0d0e,0000,0000
52,52,0,0000,0,0000,0d0f,0d0f,0000,0000
53,53,0,0000,0,0000,0d10,0d10,0000,0000
54,54,0,0000,0,0000,0d11,0d11,0000,0000
55,55,0,0000,0,0000,0d12,0d12,0000,0000
56,56,0,0000,0,0000,0d13,0d13,0000,0000
57,57,0,0000,0,0000,0d14,0d14,0000,0000
58,58,0,0000,0,0000,0d15,0d15,0000,0000
59,59,0,0000,0,0000,0d16,0d16,0000,0000
60,60,0,0000,0,0000,0d17,0d17,0000,0000
61,61,0,0000,0,0000,0d18,0d18,0000,0000
62,62,0,0000,0,0000,0d19,0d19,0000,0000
63,63,0,0000,0,0000,0d1a,0d1a,0000,0000
64,64,0,0000,0,0000,0d1b,0d1b,0000,0000
65,65,0,0000,0,0000,0d1c,0d1c,0000,0000
66,66,0,0000,0,0000,0d1d,0d1d,0000,0000
67,67,0,0000,0,0000,0d1e,0d1e,0000,0000
68,68,0,0000,0,0000,0d1f,0d1f,0000,0000
69,69,0,0000,0,0000,0d20,0d20,0000,0000
70,70,0,0000,0,0000,0d21,0d21,0000,0000
71,71,0,0000,0,0000,0d22,0d22,0000,0000
72,72,0,0000,0,0000,0d23,0d23,0000,0000
73,73,0,0000,0,0000,0d24,0d24,0000,0000
74,74,0,0000,0,0000,0d25,0d25,0000,0000
75,75,0,0000,0,0000,0d26,0d26,0000,0000
76,76,0,0000,0,0000,0d27,0d27,0000,0000
77,77,0,0000,0,0000,0d28,0d28,0000,0000
78,78,0,0000,0,0000,0d29,0d29,0000,0000
79,79,0,0000,0,0000,0d2a,0d2a,0000,0000
80,80,0,0000,0,0000,0d2b,0d2b,0000,0000
81,81,0,0000,0,0000,0d2c,0d2c,0000,0000
82,82,0,0000,0,0000,0d2d,0d2d,0000,0000
83,83,0,0000,0,0000,0d2e,0d2e,0000,0000
84,84,0,0000,0,0000,0d2f,0d2f,0000,0000
85,85,0,0000,0,0000,0d30,0d30,0000,0000
86,86,0,0000,0,0000,0d31,0d31,0000,0000
87,87,0,0000,0,0000,0d32,0d32,0000,0000
88,88,0,0000,0,0000,0d33,0d33,0000,0000
89,89,0,0000,0,0000,0d34,0d34,0000,0000
90,90,0,0000,0,0000,0d35,0d35,0000,0000
91,91,0,0000,0,0000,0d36,0d36,0000,0000
92,92,0,0000,0,0000,0d37,0d37,0000,0000
93,93,0,0000,0,0000,0d38,0d38,0000,0000
94,94,0,0000,0,0000,0d39,0d39,0000,0000
95,95,0,0000,0,0000,0d3a,0d3a,0000,0000
96,96,0,0000,0,0000,0d3b,0d3b,0000,0000
97,97,0,0000,0,0000,0d3c,0d3c,0000,0000
98,98,0,0000,0,0000,0d3d,0d3d,0000,0000
99,99,0,0000,0,0000,0d3e,0d3e,0000,0000
100,100,0,0000,0,0000,0d3f,0d3f,0000,0000
101,101,0,0000,0,0000,0d40,0d40,0000,0000
102,102,0,0000,0,0000,0d41,0d41,0000,0000
103,103,0,0000,0,0000,0d42,0d42,0000,0000
104,104,0,0000,0,0000,0d43,0d43,0000,0000
105,105,0,0000,0,0000,0d44,0d44,0000,0000
106,106,0,0000,0,0000,0d45,0d45,0000,0000
